Array Size, Sustained Memory Bandwidth [GB/s]
10,100.482
11,127.28099999999999
12,157.274
13,200.32099999999997
14,230.56199999999998
15,271.725
16,305.479
17,358.13100000000003
18,386.469
19,438.326
20,466.88700000000006
21,514.766
22,549.059
23,574.142
24,625.4019999999999
25,655.4319999999999
26,698.0050000000001
27,734.702
28,682.598
29,776.9089999999999
30,823.966
31,833.2179999999998
32,861.2270000000001
33,875.887
34,890.3130000000001
35,899.8340000000001
36,874.2479999999999
37,948.158
38,956.9309999999999
39,973.1809999999999
40,977.1719999999999
41,935.0139999999999
42,986.934
43,987.4029999999999
44,618.0400000000001
45,987.5219999999999
46,885.5759999999998
47,956.4369999999999
48,953.99
49,960.8170000000002
50,960.7239999999999
51,943.4130000000001
52,964.7940000000001
53,964.6289999999999
54,974.3859999999999
55,975.2930000000002
56,941.7880000000001
57,978.515
58,1008.5600000000001
59,1006.45
60,743.6189999999999
61,1002.2969999999999
62,1028.8000000000002
63,1034.9
64,964.7800000000001
65,1039.17
66,1026.35
67,1031.79
68,1016.47
69,1052.18
70,1062.4
71,957.2760000000001
72,1070.1
73,1051.96
74,1046.4900000000002
75,1070.5
76,973.8729999999999
77,1075.6499999999999
78,1039.87
79,1081.07
80,1078.25
81,1067.4299999999998
82,1064.81
83,1086.4900000000002
84,1085.27
85,1080.8100000000002
86,1012.85
87,801.4369999999999
88,1105.2
89,1082.7
90,1106.2400000000002
91,1107.5099999999998
92,967.7879999999999
93,1109.1200000000001
94,1090.4699999999998
95,1101.66
96,1096.0099999999998
97,997.244
98,1076.58
99,1066.3600000000001
100,1038.99
101,1072.15
102,1084.73
103,1014.5400000000002
104,1037.06
105,1006.01
106,1031.57
107,963.573
108,1056.9099999999999
109,1090.01
110,1114.88
111,1110.48
112,1099.3400000000001
113,1121.5
114,1104.3799999999999
115,1109.0700000000002
116,1085.04
117,1129.43
118,1129.0
119,1128.8600000000001
120,1118.0800000000002
121,1112.01
122,1105.84
123,1095.98
124,1083.2
125,1137.72
126,1121.6
127,896.801
128,1044.0400000000002
129,1000.7390000000001
130,1073.9099999999999
131,1112.27
132,1135.0
133,971.606
134,1106.9299999999998
135,1164.29
136,1152.3
137,1146.21
138,1158.46
139,1113.3
140,1109.2800000000002
141,1004.9469999999999
142,992.4800000000001
143,1106.7800000000002
144,1134.1100000000001
145,1154.04
146,1143.6100000000001
147,1152.99
148,1104.8200000000002
149,1158.1399999999999
150,1179.2900000000002
151,1142.2400000000002
152,759.432
153,478.474
154,1002.0160000000002
155,1033.9900000000002
156,1104.9299999999998
157,1079.98
158,944.2940000000002
159,669.392
160,1160.9299999999998
161,1170.7999999999997
162,1044.3700000000001
163,1155.2499999999998
164,1164.65
165,1143.16
166,1186.7
167,929.1360000000001
168,1051.6399999999999
169,1164.5
170,1185.2900000000002
171,1172.0300000000002
172,1155.4499999999998
173,1030.07
174,1172.3000000000002
175,1180.9299999999998
176,976.606
177,1156.86
178,1047.41
179,1176.68
180,1165.76
